sector,job_count,avg_salary
Angularjs,23,0.0
Animal Health,2,0.0
Animation,1,0.0
Anm,4,318750.0
Annealing Furnace,1,450000.0
Annotation,3,0.0
Annual Return,3,550000.0
Annuity Insurance,1,1000000.0
Anpr,1,512500.0
Ansible,6,0.0
Ansible Automation,1,0.0
Ansys,2,562500.0
Ansys Maxwell,1,0.0
Ansys Workbench,1,725000.0
Anti Money Laundering,4,487500.0
Anti money laundering,1,0.0
Antibiotics,2,0.0
Antibody Engineering,1,0.0
Antivirus,1,375000.0
Any Field Sales,1,225000.0
Any Graduate Appear or Diploma Candidate can apply,1,0.0
Any LAP / HL /Mortgage / Lending product -field / direct sales,1,200000.0
Anypoint Studio,1,1850000.0
Aocp,2,207500.0
Aop,1,3875000.0
Ap Accounting,1,225000.0
Ap Helpdesk,1,0.0
Apac Recruitment,1,525000.0
Apache,1,0.0
Apache Airflow,1,0.0
Apache Camel,1,3250000.0
Apache Felix,1,1000000.0
Apache Http Server,1,600000.0
Apache Nifi,2,0.0
Apache Sightly,1,1750000.0
Apache Solr,1,0.0
Apache spark,1,0.0
Apartment Sales,1,525000.0
Apex,1,0.0
Apex Oracle,1,0.0
Apex Programming,2,0.0
Apex Tests,1,1600000.0
Api Automation,15,0.0
Api Design And Development,3,0.0
Api Documentation,3,0.0
Api Gateway,3,1500000.0
Api Integration,11,0.0
Api Interfaces,1,0.0
Api Management,1,0.0
Api Production,1,0.0
Api Sales,1,0.0
Api Synthesis,2,475000.0
Apigee Edge,1,1550000.0
Apm Tools,2,125000.0
App Development,4,260000.0
App Dynamics,1,0.0
App Support,1,475000.0
App-V,1,0.0
AppDynamics,1,1500000.0
Apparel,6,382500.0
Apparel  Designing,1,1350000.0
Apparel Manufacturing,1,700000.0
Apparel Merchandising,1,1750000.0
Appeals,1,0.0
Appian,3,0.0
Appian Developer,1,0.0
Appium,6,258000.0
Appium.,1,0.0
Apple,1,700000.0
Appliances,4,850000.0
Application Architectures,1,0.0
Application Development,6,0.0
Application Engine,1,2250000.0
Application Engineering,4,725000.0
