UniversityType,Year,Metric,Value
Deemed University-Government Aided,2016,M.Phil. Female,385
Deemed University-Private,2020,M.Phil. Female,399
Deemed University-Private,2019,M.Phil. Female,697
Deemed University-Private,2018,M.Phil. Female,747
Deemed University-Private,2017,M.Phil. Female,703
Deemed University-Private,2016,M.Phil. Female,918
State Private Open University,2019,M.Phil. Female,25
All University Types,2020,M.Phil. Both,12077
All University Types,2019,M.Phil. Both,15874
All University Types,2018,M.Phil. Both,18649
All University Types,2017,M.Phil. Both,17912
All University Types,2016,M.Phil. Both,25035
Central University,2020,M.Phil. Both,2421
Central University,2019,M.Phil. Both,2276
Central University,2018,M.Phil. Both,5807
Central University,2017,M.Phil. Both,3526
Central University,2016,M.Phil. Both,7974
Central Open University,2019,M.Phil. Both,1
Central Open University,2018,M.Phil. Both,24
Central Open University,2017,M.Phil. Both,56
Central Open University,2016,M.Phil. Both,83
Institute of National Importance,2020,M.Phil. Both,245
Institute of National Importance,2019,M.Phil. Both,250
Institute of National Importance,2018,M.Phil. Both,96
Institute of National Importance,2017,M.Phil. Both,85
Institute of National Importance,2016,M.Phil. Both,176
Deemed University-Government,2020,M.Phil. Both,111
Deemed University-Government,2019,M.Phil. Both,282
Deemed University-Government,2018,M.Phil. Both,360
Deemed University-Government,2017,M.Phil. Both,330
Deemed University-Government,2016,M.Phil. Both,344
State Public University,2020,M.Phil. Both,8126
State Public University,2019,M.Phil. Both,10367
State Public University,2018,M.Phil. Both,9902
State Public University,2017,M.Phil. Both,11489
State Public University,2016,M.Phil. Both,13435
State Open University,2020,M.Phil. Both,22
State Open University,2019,M.Phil. Both,25
State Private University,2020,M.Phil. Both,390
State Private University,2019,M.Phil. Both,1193
State Private University,2018,M.Phil. Both,854
State Private University,2017,M.Phil. Both,775
State Private University,2016,M.Phil. Both,851
Deemed University-Government Aided,2020,M.Phil. Both,186
Deemed University-Government Aided,2019,M.Phil. Both,435
Deemed University-Government Aided,2018,M.Phil. Both,589
Deemed University-Government Aided,2017,M.Phil. Both,686
Deemed University-Government Aided,2016,M.Phil. Both,633
Deemed University-Private,2020,M.Phil. Both,576
Deemed University-Private,2019,M.Phil. Both,1000
Deemed University-Private,2018,M.Phil. Both,1017
Deemed University-Private,2017,M.Phil. Both,965
Deemed University-Private,2016,M.Phil. Both,1539
State Private Open University,2019,M.Phil. Both,45
All University Types,2020,Post Graduate Male,1087884
All University Types,2019,Post Graduate Male,983466
All University Types,2018,Post Graduate Male,891697
All University Types,2017,Post Graduate Male,1006848
All University Types,2016,Post Graduate Male,941467
Central University,2020,Post Graduate Male,67880
Central University,2019,Post Graduate Male,63195
Central University,2018,Post Graduate Male,57351
Central University,2017,Post Graduate Male,57914
Central University,2016,Post Graduate Male,59464
Central Open University,2020,Post Graduate Male,183991
Central Open University,2019,Post Graduate Male,169982
Central Open University,2018,Post Graduate Male,153742
Central Open University,2017,Post Graduate Male,194363
Central Open University,2016,Post Graduate Male,137091
Institute of National Importance,2020,Post Graduate Male,49411
Institute of National Importance,2019,Post Graduate Male,62418
Institute of National Importance,2018,Post Graduate Male,37382
Institute of National Importance,2017,Post Graduate Male,29894
Institute of National Importance,2016,Post Graduate Male,29414
Deemed University-Government,2020,Post Graduate Male,8290
Deemed University-Government,2019,Post Graduate Male,7663
Deemed University-Government,2018,Post Graduate Male,6306
Deemed University-Government,2017,Post Graduate Male,7631
Deemed University-Government,2016,Post Graduate Male,8383
State Public University,2020,Post Graduate Male,399891
State Public University,2019,Post Graduate Male,387245
State Public University,2018,Post Graduate Male,368065
State Public University,2017,Post Graduate Male,440113
State Public University,2016,Post Graduate Male,451032
State Open University,2020,Post Graduate Male,165176
State Open University,2019,Post Graduate Male,97882
State Open University,2018,Post Graduate Male,89507
State Open University,2017,Post Graduate Male,98422
State Open University,2016,Post Graduate Male,109541
Institute under State Legislature Act,2020,Post Graduate Male,574
Institute under State Legislature Act,2019,Post Graduate Male,628
Institute under State Legislature Act,2018,Post Graduate Male,556
Institute under State Legislature Act,2017,Post Graduate Male,432
Institute under State Legislature Act,2016,Post Graduate Male,343
State Private University,2020,Post Graduate Male,137724
State Private University,2019,Post Graduate Male,129672
State Private University,2018,Post Graduate Male,120127
State Private University,2017,Post Graduate Male,117798
State Private University,2016,Post Graduate Male,81204
Deemed University-Government Aided,2020,Post Graduate Male,5885
Deemed University-Government Aided,2019,Post Graduate Male,5542
Deemed University-Government Aided,2018,Post Graduate Male,6334
Deemed University-Government Aided,2017,Post Graduate Male,8379
Deemed University-Government Aided,2016,Post Graduate Male,14982
Deemed University-Private,2020,Post Graduate Male,67998
Deemed University-Private,2019,Post Graduate Male,58752
Deemed University-Private,2018,Post Graduate Male,52327
Deemed University-Private,2017,Post Graduate Male,51892
Deemed University-Private,2016,Post Graduate Male,50003
State Private Open University,2020,Post Graduate Male,1064
State Private Open University,2019,Post Graduate Male,487
State Private Open University,2017,Post Graduate Male,10
State Private Open University,2016,Post Graduate Male,10
All University Types,2020,Post Graduate Female,1236301
All University Types,2019,Post Graduate Female,1113085
All University Types,2018,Post Graduate Female,997794
All University Types,2017,Post Graduate Female,968276
All University Types,2016,Post Graduate Female,1016658
Central University,2020,Post Graduate Female,65510
Central University,2019,Post Graduate Female,60610
Central University,2018,Post Graduate Female,51131
Central University,2017,Post Graduate Female,51820
Central University,2016,Post Graduate Female,48563
Central Open University,2020,Post Graduate Female,225191
Central Open University,2019,Post Graduate Female,226624
Central Open University,2018,Post Graduate Female,202662
