State,Area,Year,unemployment_rate_x,estimated_employed,labour_participation_rate,unemployment_rate_y,per_capita,poverty_rate,literacy_rate,labour_force,youth_unemployment_rate,edu_Certificate Both,edu_Certificate Female,edu_Certificate Male,edu_Diploma Both,edu_Diploma Female,edu_Diploma Male,edu_Grand Total Both,edu_Grand Total Female,edu_Grand Total Male,edu_Integrated Both,edu_Integrated Female,edu_Integrated Male,edu_M.Phil. Both,edu_M.Phil. Female,edu_M.Phil. Male,edu_PG Diploma Both,edu_PG Diploma Female,edu_PG Diploma Male,edu_Ph.D. Both,edu_Ph.D. Female,edu_Ph.D. Male,edu_Post Graduate Both,edu_Post Graduate Female,edu_Post Graduate Male,edu_Under Graduate Both,edu_Under Graduate Female,edu_Under Graduate Male,job_count_total,job_avg_salary_overall
Madhya Pradesh,Rural,2019.0,3.5575,16357438.0,40.12125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Madhya Pradesh,Rural,2020.0,8.448333333333332,15488286.333333334,39.406666666666666,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Madhya Pradesh,Urban,2019.0,6.01875,6598110.25,38.95875,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Madhya Pradesh,Urban,2020.0,13.346666666666666,5776576.166666667,36.32,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Maharashtra,Rural,2019.0,3.79375,24927630.75,48.89125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Maharashtra,Rural,2020.0,10.831666666666669,21890862.333333332,45.38166666666667,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Maharashtra,Urban,2019.0,7.125,17105285.875,38.7575,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Maharashtra,Urban,2020.0,9.878333333333332,15352829.5,35.16833333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Meghalaya,Rural,2019.0,2.0225,1114939.0,64.5525,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Meghalaya,Rural,2020.0,3.078333333333333,1080058.6666666667,61.98333333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
